result,table,_time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,pitch,roll
_result,0,2024-11-26 00:38:12.129013+00:00,0.34,0.22,-0.82,-7.26,-5.43,-0.92,-21.76,164.75
_result,0,2024-11-26 00:38:12.852223+00:00,0.34,0.22,-0.84,-11.11,-3.42,-0.31,-21.22,165.35
_result,0,2024-11-26 00:38:13.561613+00:00,0.32,0.23,-0.83,-8.18,-7.02,-0.92,-20.18,164.77
_result,0,2024-11-26 00:38:14.280349+00:00,0.33,0.24,-0.84,-9.83,-4.46,-0.67,-20.68,164.19
_result,0,2024-11-26 00:38:14.994213+00:00,0.33,0.24,-0.83,-9.28,-5.37,0.98,-21.22,163.56
_result,0,2024-11-26 00:38:15.712711+00:00,0.33,0.23,-0.83,-10.31,-3.78,0.0,-21.0,164.53
_result,0,2024-11-26 00:38:16.377675+00:00,0.34,0.23,-0.85,-6.1,-4.58,2.08,-21.22,164.95
_result,0,2024-11-26 00:38:17.147343+00:00,0.33,0.24,-0.85,-8.06,-7.08,-2.44,-20.22,164.45
_result,0,2024-11-26 00:38:17.868247+00:00,0.34,0.23,-0.83,-7.63,-5.74,-0.79,-21.39,164.74
_result,0,2024-11-26 00:38:18.531562+00:00,0.34,0.24,-0.83,-8.61,-5.43,-1.59,-21.23,163.93
_result,0,2024-11-26 00:38:19.296865+00:00,0.34,0.22,-0.84,-8.36,-5.98,-1.04,-21.53,165.22
_result,0,2024-11-26 00:38:20.095012+00:00,0.34,0.22,-0.84,-8.73,-6.1,-0.73,-21.33,165.32
_result,0,2024-11-26 00:38:20.934247+00:00,0.33,0.22,-0.84,-7.32,-4.46,-1.1,-20.7,165.35
_result,0,2024-11-26 00:38:21.656027+00:00,0.33,0.23,-0.88,-8.91,-5.92,-0.85,-19.72,165.67
_result,0,2024-11-26 00:38:22.368642+00:00,0.37,0.22,-0.85,-15.32,-5.55,-6.47,-22.91,165.36
_result,0,2024-11-26 00:38:23.084655+00:00,0.31,0.18,-0.86,-7.08,-8.24,-2.62,-19.58,168.29
_result,0,2024-11-26 00:38:23.805390+00:00,0.31,0.17,-0.86,-9.34,-5.31,-1.77,-19.42,169.15
_result,0,2024-11-26 00:38:24.519175+00:00,0.32,0.18,-0.86,-11.17,-5.13,0.92,-20.01,168.23
_result,0,2024-11-26 00:38:25.491453+00:00,0.32,0.2,-0.85,-6.29,-6.47,-0.67,-20.22,166.74
_result,0,2024-11-26 00:38:26.259967+00:00,0.35,0.18,-0.85,-6.65,-5.8,-0.98,-22.31,167.74
_result,0,2024-11-26 00:38:26.977766+00:00,0.37,0.2,-0.82,-9.34,-7.14,0.18,-23.89,166.1
_result,0,2024-11-26 00:38:27.692399+00:00,0.38,0.21,-0.83,-8.24,-6.53,-0.55,-23.87,165.66
_result,0,2024-11-26 00:38:28.516431+00:00,0.36,0.2,-0.82,-7.57,-6.04,0.06,-23.09,166.13
_result,0,2024-11-26 00:38:29.228841+00:00,0.36,0.19,-0.82,-9.03,-5.07,-0.92,-22.91,166.88
_result,0,2024-11-26 00:38:30.337194+00:00,0.39,0.22,-0.83,-9.09,-5.98,-1.53,-24.5,165.33
_result,0,2024-11-26 00:38:31.173526+00:00,0.36,0.2,-0.83,-9.4,-5.92,0.31,-23.0,166.18
_result,0,2024-11-26 00:38:31.891178+00:00,0.37,0.22,-0.83,-9.03,-6.96,-0.73,-23.61,165.15
_result,0,2024-11-26 00:38:32.711118+00:00,0.37,0.21,-0.83,-8.36,-5.37,-0.92,-23.63,165.5
_result,0,2024-11-26 00:38:33.399292+00:00,0.37,0.21,-0.82,-8.18,-5.55,0.55,-23.33,165.65
